ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_EDUCATION_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,AGE,EMPLOYED_YEARS,recent_minor_dpd_count,recent_major_dpd_count,recent_minor_ratio,recent_major_ratio,recent_paid_ratio,recent_no_loan_ratio,recent_status_std,long_minor_ratio,long_major_ratio,total_history_length,Class
5008806,1,1,0,112500,1,0,0,0,2,58.83287671,3.106849315,4,0,0.333333333,0,0.083333333,0.583333333,0.492365964,0.25,0,30,0
5008810,0,1,0,270000,1,0,1,1,1,52.35616438,8.35890411,1,0,0.083333333,0,0.75,0.166666667,0.288675135,0.555555556,0,27,0
5008811,0,1,0,270000,1,0,1,1,1,52.35616438,8.35890411,0,0,0,0,1,0,0,0.285714286,0,39,0
5112956,1,1,0,270000,3,1,1,1,2,46.22465753,2.106849315,11,0,0.916666667,0,0,0.083333333,0.288675135,0.84,0,43,1
5008825,1,0,0,130500,2,0,0,0,2,29.23013699,3.021917808,12,0,1,0,0,0,0,0.875,0.125,26,1
5008830,0,1,0,157500,1,0,1,0,2,27.48219178,4.024657534,1,1,0.083333333,0.083333333,0.833333333,0,0.621581561,0.857142857,0.071428571,32,0
5008831,0,1,0,157500,1,0,1,0,2,27.48219178,4.024657534,11,1,0.916666667,0.083333333,0,0,0.288675135,0.5,0,20,2
5008832,0,1,0,157500,1,0,1,0,2,27.48219178,4.024657534,0,0,0,0,1,0,0,0.764705882,0.117647059,35,0
5008834,0,1,1,112500,1,0,0,0,2,30.04931507,4.438356164,0,0,0,0,1,0,0,0.185185185,0,45,0
5008840,0,1,1,405000,3,0,0,0,3,32.44383562,5.523287671,0,0,0,0,1,0,0,0.263157895,0,56,0
5008843,0,1,1,405000,3,0,0,0,3,32.44383562,5.523287671,0,0,0,0,1,0,0,0.833333333,0,30,0
5008850,1,1,0,112500,1,0,1,0,2,56.16986301,12.19178082,12,0,1,0,0,0,0,1,0,26,1
5008855,1,1,2,135000,1,0,0,0,4,43.18082192,8.693150685,0,0,0,0,1,0,0,0.545454545,0,29,0
5008857,1,1,2,135000,1,0,0,0,4,43.18082192,8.693150685,0,0,0,0,0,1,0,0,0,28,0
5008868,0,1,1,211500,1,0,0,0,3,44.41643836,19.44931507,12,0,1,0,0,0,0,1,0,25,1
5008873,0,1,2,126000,3,0,0,1,4,34.00273973,4.857534247,2,0,0.166666667,0,0.833333333,0,0.389249472,1,0,22,0
5008874,0,1,2,126000,3,0,0,1,4,34.00273973,4.857534247,0,0,0,0,1,0,0,0.214285714,0,46,0
5008875,0,1,2,126000,3,0,0,1,4,34.00273973,4.857534247,0,0,0,0,1,0,0,0.409090909,0,40,0
5008876,0,1,2,126000,3,0,0,1,4,34.00273973,4.857534247,0,0,0,0,1,0,0,0.115384615,0,44,0
5008879,0,1,2,126000,3,0,0,1,4,34.00273973,4.857534247,2,0,0.166666667,0,0.833333333,0,0.389249472,1,0,22,0
5008881,0,1,2,126000,3,0,0,1,4,34.00273973,4.857534247,4,0,0.333333333,0,0.666666667,0,0.492365964,1,0,20,0
5008884,0,1,0,315000,1,0,0,0,1,55.30410959,0,0,0,0,0,1,0,0,0.173913043,0,41,0
5008893,0,1,0,297000,1,0,0,0,1,42.51780822,8.860273973,0,0,0,0,1,0,0,0,0,37,0
5008894,0,1,0,297000,1,0,0,0,1,42.51780822,8.860273973,0,0,0,0,1,0,0,0,0,37,0
5008895,0,1,0,297000,1,0,0,0,1,42.51780822,8.860273973,0,0,0,0,1,0,0,0,0,35,0
5008912,0,1,0,297000,1,0,0,0,1,42.51780822,8.860273973,8,1,0.666666667,0.083333333,0.25,0,0.577350269,0.666666667,0,21,0
5008914,0,1,0,297000,1,0,0,0,1,42.51780822,8.860273973,10,1,0.833333333,0.083333333,0.083333333,0,0.426401433,0,0,19,0
5008916,0,1,0,297000,1,0,0,0,1,42.51780822,8.860273973,10,1,0.833333333,0.083333333,0,0.083333333,0.426401433,0,0,18,0
5008951,0,1,1,225000,1,0,0,0,3,28.27671233,7.693150685,0,0,0,0,1,0,0,0.214285714,0,46,0
5008953,0,1,1,225000,1,0,0,0,3,28.27671233,7.693150685,0,0,0,0,0,1,0,0,0,28,0
5008956,1,1,0,135000,1,0,0,0,2,48.7260274,4.690410959,0,0,0,0,1,0,0,0.227272727,0,40,0
5008960,1,1,0,135000,1,0,0,0,2,48.7260274,4.690410959,1,0,0.083333333,0,0.916666667,0,0.288675135,1,0,29,0
5008962,1,1,0,135000,1,0,0,0,2,48.7260274,4.690410959,1,0,0.083333333,0,0.916666667,0,0.288675135,0.888888889,0,27,0
5008963,1,1,0,135000,1,0,0,0,2,48.7260274,4.690410959,0,0,0,0,1,0,0,0.428571429,0,39,0
5008967,0,1,0,157500,1,0,1,0,2,43.90958904,2.435616438,6,0,0.5,0,0,0.5,0.522232968,0.5,0,22,1
5008977,0,1,0,112500,1,0,0,0,2,61.14794521,0,12,0,1,0,0,0,0,1,0,24,1
5008979,0,1,0,112500,1,0,0,0,2,61.14794521,0,0,0,0,0,1,0,0,0.4,0,38,0
5008984,1,1,0,112500,1,0,1,0,2,57.1890411,6.523287671,0,0,0,0,0,1,0,0,0,59,0
5008993,1,1,0,270000,1,1,1,0,1,45.43013699,3.271232877,12,0,1,0,0,0,0,0,0,18,1
5008994,1,1,0,270000,1,1,1,0,1,45.43013699,3.271232877,11,0,0.916666667,0,0,0.083333333,0.288675135,0,0,20,1
5009000,1,1,0,157500,1,0,0,0,2,27.19726027,2.268493151,4,0,0.333333333,0,0.666666667,0,0.492365964,1,0,23,0
5009016,0,1,2,216000,3,0,0,1,4,42.31232877,8.526027397,0,0,0,0,1,0,0,0.857142857,0,25,0
5009019,0,1,2,216000,3,0,0,1,4,42.31232877,8.526027397,12,0,1,0,0,0,0,1,0,33,1
5009023,0,1,2,216000,3,0,0,1,4,42.31232877,8.526027397,0,0,0,0,1,0,0,0.333333333,0,36,0
5009025,0,1,2,216000,3,0,0,1,4,42.31232877,8.526027397,0,0,0,0,1,0,0,0.375,0,34,0
5009027,1,1,0,270000,1,0,0,1,2,54.41369863,29.70684932,9,0,0.75,0,0,0.25,0.452267017,0.25,0,22,1
5009036,0,0,0,255150,2,0,0,0,2,51.18356164,0,5,0,0.416666667,0,0.416666667,0.166666667,0.514928651,0,0,19,0
5009037,0,0,0,255150,2,0,0,0,2,51.18356164,0,2,0,0.166666667,0,0,0.833333333,0.389249472,1,0,20,0
5009042,0,1,0,148500,3,0,0,0,2,48.33150685,2.435616438,7,0,0.583333333,0,0,0.416666667,0.514928651,0.333333333,0,21,0
5009052,0,1,2,202500,3,0,0,1,4,30.12876712,6.271232877,0,0,0,0,1,0,0,0.566666667,0,48,0
5009063,1,1,0,315000,1,0,0,0,2,28.63013699,5.690410959,3,0,0.25,0,0,0.75,0.452267017,0,0,28,0
5009068,1,1,0,315000,1,0,0,0,2,28.63013699,5.690410959,0,0,0,0,0,1,0,0,0,23,1
5009069,1,1,0,315000,1,0,0,0,2,28.63013699,5.690410959,4,0,0.333333333,0,0.666666667,0,0.492365964,0.888888889,0,36,0
5009071,1,1,0,270000,2,0,1,1,2,28.12054795,8.693150685,6,0,0.5,0,0.25,0.25,0.522232968,0.333333333,0,21,0
5009074,1,1,1,450000,3,0,1,1,3,48.56438356,1.939726027,12,0,1,0,0,0,0,1,0,23,1
5009078,0,1,1,180000,1,0,0,0,3,38.69041096,3.523287671,0,0,0,0,1,0,0,0.461538462,0,31,0
5009079,0,1,0,112500,3,0,0,1,2,27.57260274,8.693150685,0,0,0,0,1,0,0,0.307692308,0,44,0
5009089,1,0,2,202500,3,0,0,0,4,40.35616438,8.189041096,12,0,1,0,0,0,0,0.636363636,0,40,1
5009096,0,1,1,270000,1,0,0,1,3,37.47671233,12.03013699,0,0,0,0,1,0,0,0.571428571,0,25,0
5009098,0,1,1,270000,1,0,0,1,3,37.47671233,12.03013699,4,0,0.333333333,0,0.583333333,0.083333333,0.492365964,0,0,18,0
5009100,0,1,0,315000,3,0,0,0,1,36.35890411,1.520547945,4,0,0.333333333,0,0,0.666666667,0.492365964,0.4,0,28,1
5009103,1,1,2,157500,1,0,1,0,4,35.23013699,11.11232877,0,0,0,0,1,0,0,0.333333333,0,39,0
5009104,1,1,2,157500,1,0,1,0,4,35.23013699,11.11232877,0,0,0,0,0,1,0,0,0,28,0
5009105,1,1,2,157500,1,0,1,0,4,35.23013699,11.11232877,0,0,0,0,0,1,0,0,0,31,0
5009106,1,1,2,157500,1,0,1,0,4,35.23013699,11.11232877,0,0,0,0,0,1,0,0,0,61,0
5112876,1,1,2,157500,1,0,1,0,4,35.23013699,11.11232877,1,0,0.083333333,0,0.916666667,0,0.288675135,0.75,0,26,0
5009109,0,1,0,360000,1,0,0,0,2,41.97534247,7.526027397,7,0,0.583333333,0,0.416666667,0,0.514928651,1,0,21,0
5009117,0,0,0,157500,3,0,0,0,1,43.11506849,1.183561644,0,0,0,0,1,0,0,0.125,0,50,0
5009123,0,0,0,157500,3,0,0,0,1,43.11506849,1.183561644,0,0,0,0,1,0,0,0.153846154,0,44,0
5009125,0,0,0,157500,3,0,0,0,1,43.11506849,1.183561644,0,0,0,0,1,0,0,0.137931034,0,47,0
5009127,0,0,0,157500,3,0,0,0,1,43.11506849,1.183561644,0,0,0,0,1,0,0,0.8,0,23,0
5009130,0,0,0,157500,3,0,0,0,1,43.11506849,1.183561644,0,0,0,0,1,0,0,0.8,0,23,0
5009141,0,0,0,135000,1,1,1,0,2,26.45753425,4.273972603,0,0,0,0,1,0,0,0.5,0,34,0
5009150,1,0,0,315000,3,1,1,0,2,43.35616438,10.19178082,3,1,0.25,0.083333333,0.666666667,0,0.668557923,0,0,18,0
5009151,0,0,0,180000,1,0,0,0,2,53.63013699,7.947945205,0,0,0,0,1,0,0,0.333333333,0,30,0
5009152,0,0,0,180000,1,0,0,0,2,53.63013699,7.947945205,0,0,0,0,1,0,0,0.133333333,0,48,0
5009154,0,0,0,180000,1,0,0,0,2,53.63013699,7.947945205,0,0,0,0,1,0,0,0.363636364,0,29,0
5009155,0,0,0,180000,1,0,0,0,2,53.63013699,7.947945205,0,0,0,0,1,0,0,0.4,0,28,0
5009156,0,0,0,180000,1,0,0,0,2,53.63013699,7.947945205,4,0,0.333333333,0,0.583333333,0.083333333,0.492365964,0,0,18,0
5009158,0,0,0,180000,1,0,0,0,2,53.63013699,7.947945205,0,0,0,0,1,0,0,0.153846154,0,44,0
5009160,0,0,0,180000,1,0,0,0,2,53.63013699,7.947945205,0,0,0,0,0.916666667,0.083333333,0,1,0,22,0
5009161,0,0,0,180000,1,0,0,0,2,53.63013699,7.947945205,0,0,0,0,1,0,0,0.333333333,0.333333333,24,0
5009177,1,0,0,229500,2,0,0,0,2,50.20547945,3.44109589,6,0,0.5,0,0.5,0,0.522232968,0.875,0.03125,50,0
5009178,1,0,0,229500,2,0,0,0,2,50.20547945,3.44109589,12,0,1,0,0,0,0,0.764705882,0.058823529,35,1
5009180,1,0,0,229500,2,0,0,0,2,50.20547945,3.44109589,12,0,1,0,0,0,0,0.80952381,0.047619048,39,1
5009182,1,0,0,229500,2,0,0,0,2,50.20547945,3.44109589,0,0,0,0,1,0,0,0.352941176,0,35,0
5009183,1,0,0,229500,2,0,0,0,2,50.20547945,3.44109589,0,0,0,0,1,0,0,0.142857143,0,32,0
5009190,0,0,0,270000,3,1,1,0,2,48.14520548,15.86849315,0,0,0,0,1,0,0,0.6,0,23,0
5009192,0,0,0,270000,3,1,1,0,2,48.14520548,15.86849315,0,0,0,0,1,0,0,0.6875,0,34,0
5009206,0,0,0,292500,1,1,1,0,2,57.40547945,23.79178082,10,0,0.833333333,0,0,0.166666667,0.389249472,0.25,0,22,1
5009208,0,0,0,292500,1,1,1,0,2,57.40547945,23.79178082,0,0,0,0,1,0,0,0,0,42,0
5009209,0,0,0,292500,1,1,1,0,2,57.40547945,23.79178082,12,0,1,0,0,0,0,0.964285714,0.035714286,46,1
5009213,0,0,0,270000,3,1,1,0,2,33.7890411,2.356164384,0,0,0,0,0,1,0,0,0,23,0
5009215,0,0,0,270000,3,1,1,0,2,33.7890411,2.356164384,0,0,0,0,1,0,0,0.425,0.025,58,0
5009220,1,0,0,225000,1,1,0,0,2,40.18356164,2.18630137,0,0,0,0,1,0,0,0.7,0,28,0
5009224,1,0,0,225000,1,1,0,0,2,40.18356164,2.18630137,0,0,0,0,1,0,0,0.151515152,0,51,0
5009226,1,0,0,225000,1,1,0,0,2,40.18356164,2.18630137,12,0,1,0,0,0,0,1,0,48,1
5009227,1,0,0,225000,1,1,0,0,2,40.18356164,2.18630137,12,0,1,0,0,0,0,1,0,21,1
5009232,1,0,0,225000,1,1,0,0,2,40.18356164,2.18630137,0,0,0,0,1,0,0,0.055555556,0,36,0
5009236,1,0,0,225000,1,1,0,0,2,40.18356164,2.18630137,12,0,1,0,0,0,0,0.923076923,0,31,1
5009242,0,0,0,74250,3,0,1,0,1,52.27945205,14.36438356,0,0,0,0,1,0,0,0.352941176,0,35,0
5009246,0,0,0,135000,1,0,1,0,2,38.90684932,5.860273973,0,0,0,0,0,1,0,0,0,32,0
5009248,0,0,0,135000,1,0,1,0,2,38.90684932,5.860273973,9,0,0.75,0,0.166666667,0.083333333,0.452267017,0,0,18,0
5009249,1,0,1,135000,1,1,0,0,3,27.27945205,2.523287671,0,0,0,0,1,0,0,0.444444444,0,27,0
5009251,1,0,1,135000,1,1,0,0,3,27.27945205,2.523287671,0,0,0,0,1,0,0,0.444444444,0,27,0
5009253,1,0,1,135000,1,1,0,0,3,27.27945205,2.523287671,0,0,0,0,1,0,0,0.8,0,23,0
5009260,0,0,0,202500,3,0,1,0,2,39.89589041,3.526027397,2,0,0.166666667,0,0.833333333,0,0.389249472,1,0,20,0
5009267,1,0,0,337500,3,1,1,0,2,28.1260274,4.526027397,10,0,0.833333333,0,0.166666667,0,0.389249472,0,0,18,0
5009268,1,0,0,337500,3,1,1,0,2,28.1260274,4.526027397,0,0,0,0,1,0,0,0.666666667,0,27,0
5009269,1,0,0,337500,3,1,1,0,2,28.1260274,4.526027397,0,0,0,0,1,0,0,0.588235294,0,35,0
5009270,0,0,0,180000,1,0,1,0,2,40.49589041,6.693150685,12,0,1,0,0,0,0,0.818181818,0,29,1
5009272,0,0,0,180000,1,0,1,0,2,40.49589041,6.693150685,8,0,0.666666667,0,0,0.333333333,0.492365964,0.875,0,26,1
5009275,0,0,0,180000,1,0,1,0,2,40.49589041,6.693150685,0,0,0,0,0,1,0,0.083333333,0,30,0
5009278,0,0,0,130500,1,0,1,0,2,41.47945205,13.19452055,0,0,0,0,0,1,0,0,0,21,1
5009280,0,0,0,130500,1,0,1,0,2,41.47945205,13.19452055,0,0,0,0,1,0,0,0.913043478,0,41,0
5009281,0,0,0,130500,1,0,1,0,2,41.47945205,13.19452055,5,0,0.416666667,0,0,0.583333333,0.514928651,0.454545455,0,40,1
5009284,0,0,0,130500,1,0,1,0,2,41.47945205,13.19452055,0,0,0,0,1,0,0,0.12195122,0,59,0
5009287,0,0,0,130500,1,0,1,0,2,41.47945205,13.19452055,12,0,1,0,0,0,0,0.857142857,0,25,1
5009290,0,0,0,130500,1,0,1,0,2,41.47945205,13.19452055,0,0,0,0,0,1,0,0,0,21,1
5009292,0,0,0,130500,1,0,1,0,2,41.47945205,13.19452055,7,0,0.583333333,0,0,0.416666667,0.514928651,0.470588235,0,35,1
5009293,0,0,0,130500,1,0,1,0,2,41.47945205,13.19452055,0,0,0,0,1,0,0,0.227272727,0,40,0
5009294,0,0,0,130500,1,0,1,0,2,41.47945205,13.19452055,0,0,0,0,1,0,0,0,0,31,0
5009295,0,0,0,144000,1,0,1,0,2,57.64657534,0,0,0,0,0,1,0,0,0.4375,0,34,0
5009297,0,0,0,193500,1,0,1,0,1,44.10684932,5.112328767,7,0,0.583333333,0,0,0.416666667,0.514928651,0.6,0,23,2
5009299,0,0,0,193500,1,0,1,0,1,44.10684932,5.112328767,12,0,1,0,0,0,0,0.9375,0.0625,34,1
5009302,0,0,0,112500,1,0,0,0,1,60.44109589,0,2,0,0.166666667,0,0.833333333,0,0.389249472,1,0,26,0
5009304,0,0,0,112500,1,0,0,0,1,60.44109589,0,4,0,0.333333333,0,0,0.666666667,0.492365964,0.058823529,0,35,0
5009307,1,0,0,135000,1,0,1,1,2,55.17808219,0,6,0,0.5,0,0.5,0,0.522232968,1,0,28,0
5009308,1,0,0,135000,1,0,1,1,2,55.17808219,0,0,0,0,0,1,0,0,0.409090909,0,40,0
5009309,1,0,0,135000,1,0,1,1,2,55.17808219,0,0,0,0,0,1,0,0,0.714285714,0,32,0
5009313,1,0,0,135000,1,0,1,1,2,55.17808219,0,0,0,0,0,0,1,0,0,0,19,1
5009316,1,0,0,135000,1,0,1,1,2,55.17808219,0,12,0,1,0,0,0,0,1,0,21,1
5009319,1,0,0,135000,1,0,1,1,2,55.17808219,0,0,0,0,0,1,0,0,0.5,0,38,0
5009343,1,0,0,252000,1,0,0,0,2,29.45205479,6.693150685,7,0,0.583333333,0,0.416666667,0,0.514928651,1,0,29,0
5009345,1,0,0,252000,1,0,0,0,2,29.45205479,6.693150685,12,0,1,0,0,0,0,1,0,24,0
5009349,0,0,0,180000,0,0,1,0,2,57.95890411,0.356164384,0,0,0,0,0,1,0,0.846153846,0,31,0
5009355,0,0,0,135000,1,1,1,0,2,53.95068493,14.44657534,12,0,1,0,0,0,0,0.875,0,26,1
5009358,0,0,0,135000,1,1,1,0,2,53.95068493,14.44657534,0,0,0,0,0,1,0,0,0,26,0
5009365,1,0,0,180000,3,1,0,0,2,40.73150685,1.605479452,12,0,1,0,0,0,0,0.5,0,20,1
5009366,1,0,0,180000,3,1,0,0,2,40.73150685,1.605479452,0,0,0,0,1,0,0,0.219512195,0.024390244,59,0
5009367,1,0,0,180000,3,1,0,0,2,40.73150685,1.605479452,12,0,1,0,0,0,0,1,0,44,1
5009378,0,0,2,225000,3,1,0,1,4,30.90684932,4.778082192,0,0,0,0,1,0,0,0.272727273,0,40,0
5009383,0,0,0,450000,3,0,1,0,2,40.32328767,15.28219178,11,0,0.916666667,0,0.083333333,0,0.288675135,0.923076923,0,31,0
5009384,0,0,0,450000,3,0,1,0,2,40.32328767,15.28219178,8,0,0.666666667,0,0.333333333,0,0.492365964,0.9375,0,34,0
5009391,0,0,0,279000,3,0,0,0,1,30.25205479,8.695890411,11,0,0.916666667,0,0,0.083333333,0.288675135,0.941176471,0.058823529,35,1
5009393,0,0,0,279000,3,0,0,0,1,30.25205479,8.695890411,0,0,0,0,1,0,0,0.214285714,0,32,0
5009396,0,0,1,76500,3,1,0,0,3,34.2630137,1.356164384,0,0,0,0,1,0,0,0.105263158,0,56,0
5009397,0,0,1,76500,3,1,0,0,3,34.2630137,1.356164384,0,0,0,0,1,0,0,0.097560976,0,59,0
5009399,0,0,1,76500,3,1,0,0,3,34.2630137,1.356164384,0,0,0,0,1,0,0,0.097560976,0,59,0
5009400,0,0,1,76500,3,1,0,0,3,34.2630137,1.356164384,0,0,0,0,1,0,0,0.121212121,0,51,0
5009401,0,0,1,76500,3,1,0,0,3,34.2630137,1.356164384,0,0,0,0,1,0,0,0.102564103,0,57,0
5009403,0,0,0,202500,1,1,1,0,2,56.44931507,0.690410959,0,0,0,0,1,0,0,0.444444444,0,45,0
5009405,0,0,0,234000,2,1,1,0,2,38.14520548,6.273972603,0,0,0,0,0,1,0,0,0,21,0
5009406,0,0,0,234000,2,1,1,0,2,38.14520548,6.273972603,0,0,0,0,0,1,0,0,0,21,0
5009408,0,0,0,234000,2,1,1,0,2,38.14520548,6.273972603,4,0,0.333333333,0,0,0.666666667,0.492365964,0.25,0,38,1
5009410,0,0,0,234000,2,1,1,0,2,38.14520548,6.273972603,0,0,0,0,0,1,0,0,0,42,0
5112901,0,0,0,234000,2,1,1,0,2,38.14520548,6.273972603,0,0,0,0,1,0,0,0.315789474,0,37,0
5009425,0,0,0,108000,1,1,0,0,1,22.41643836,3.608219178,11,0,0.916666667,0,0.083333333,0,0.288675135,1,0,19,0
5009435,0,0,0,135000,1,0,1,0,2,54.63013699,0,4,0,0.333333333,0,0.666666667,0,0.492365964,1,0,24,0
5009451,0,0,0,202500,3,0,1,0,2,47.3260274,3.693150685,0,0,0,0,1,0,0,1,0,23,0
5009452,0,0,0,202500,3,0,1,0,2,47.3260274,3.693150685,0,0,0,0,1,0,0,1,0,23,0
5009454,0,0,0,202500,3,0,1,0,2,47.3260274,3.693150685,0,0,0,0,1,0,0,0.192307692,0,44,0
5009456,0,0,0,202500,3,0,1,0,2,47.3260274,3.693150685,0,0,0,0,1,0,0,0.166666667,0,60,0
5009457,0,0,0,202500,3,0,1,0,2,47.3260274,3.693150685,8,0,0.666666667,0,0.333333333,0,0.492365964,1,0,22,0
5009465,0,0,0,157500,1,1,1,0,2,53.97808219,27.04109589,0,0,0,0,1,0,0,0.25,0,58,0
5009468,0,0,0,157500,1,1,1,0,2,53.97808219,27.04109589,0,0,0,0,1,0,0,0.03030303,0,51,0
5009470,0,0,0,157500,1,1,1,0,2,53.97808219,27.04109589,11,0,0.916666667,0,0.083333333,0,0.288675135,1,0,22,0
5009471,0,0,0,157500,1,1,1,0,2,53.97808219,27.04109589,1,0,0.083333333,0,0.333333333,0.583333333,0.288675135,0,0,22,0
5009472,0,0,0,157500,1,1,1,0,2,53.97808219,27.04109589,1,0,0.083333333,0,0.916666667,0,0.288675135,0.857142857,0.071428571,32,0
5009487,0,0,2,135000,1,0,0,0,4,26.6739726,7.863013699,0,0,0,0,1,0,0,0,0,59,0
5009488,0,0,2,135000,1,0,0,0,4,26.6739726,7.863013699,0,0,0,0,1,0,0,0.268292683,0,59,0
