Dataset,Model,Seed,Fold,Accuracy,Precision,F1,Recall
AD,MEPL_ER,0,1,0.9488372093023256,0.9494706682206682,0.9433342917385471,0.9380679666792882
AD,MEPL_ER,0,2,0.9232558139534883,0.9214565921882996,0.9148642567871605,0.9093383188186293
AD,MEPL_ER,0,3,0.9116279069767442,0.9064730850858576,0.9024337815567605,0.8988546005301022
AD,MEPL_ER,0,4,0.9372093023255814,0.9318640366493389,0.9312085607124446,0.9305660734570238
AD,MEPL_ER,0,5,0.958041958041958,0.965262214253698,0.9531204468188441,0.9437583127493825
AD,MEPL_ER,1,1,0.9348837209302325,0.9323991896584989,0.9281091021997182,0.9242947747065506
AD,MEPL_ER,1,2,0.9162790697674419,0.9190176070428171,0.9060314685314685,0.896488072699735
AD,MEPL_ER,1,3,0.9348837209302325,0.9405262104841937,0.9269133644133645,0.9168402120408936
AD,MEPL_ER,1,4,0.9348837209302325,0.9252314814814815,0.9295807598727306,0.9347311624384702
AD,MEPL_ER,1,5,0.9393939393939394,0.934910394265233,0.9335723474200772,0.9322867186015581
AD,MEPL_ER,2,1,0.9511627906976744,0.9449266862170088,0.9468107038304541,0.9488120030291556
AD,MEPL_ER,2,2,0.9418604651162791,0.9394846277733708,0.9359123400044116,0.9326722832260508
AD,MEPL_ER,2,3,0.9441860465116279,0.9413935211807553,0.9385714285714286,0.9359617569102613
AD,MEPL_ER,2,4,0.9186046511627907,0.9148820326678766,0.9099939597275299,0.905741196516471
AD,MEPL_ER,2,5,0.9277389277389277,0.9332577475434618,0.9188476723396206,0.9084172525175755
AD,MEPL_ER,3,1,0.9116279069767442,0.9153892698668817,0.9004653882702662,0.8899091253313138
AD,MEPL_ER,3,2,0.9302325581395349,0.9226896292113683,0.9239045798824945,0.9251703900037864
AD,MEPL_ER,3,3,0.9116279069767442,0.9136404561824729,0.9008109945609946,0.8914000378644453
AD,MEPL_ER,3,4,0.9627906976744186,0.9605952380952381,0.9591730162121105,0.9578048087845513
AD,MEPL_ER,3,5,0.9254079254079254,0.9206742329518129,0.9179928315412185,0.9155187155614668
AD,MEPL_ER,4,1,0.9488372093023256,0.9429230190099755,0.9441966919138292,0.9455225293449452
AD,MEPL_ER,4,2,0.9372093023255814,0.9343164827768564,0.9307853272047646,0.927584248390761
AD,MEPL_ER,4,3,0.9302325581395349,0.9285887723387724,0.9227285796434732,0.9177158273381295
AD,MEPL_ER,4,4,0.9232558139534883,0.9261976532722154,0.9140099018900854,0.9048655812192351
AD,MEPL_ER,4,5,0.9207459207459208,0.9260814571211737,0.9108391608391608,0.90003325099753
AD,MEPL_DS,0,1,0.913953488372093,0.9275409836065573,0.9014805778650203,0.8857440363498674
AD,MEPL_DS,0,2,0.8767441860465116,0.8937888198757764,0.8560610366889618,0.8375851950018932
AD,MEPL_DS,0,3,0.9046511627906977,0.9047731745596772,0.8931638174998031,0.8845134418780765
AD,MEPL_DS,0,4,0.9116279069767442,0.9104679802955665,0.9014808026239629,0.8943818629307081
AD,MEPL_DS,0,5,0.9324009324009324,0.9474239974970016,0.9229854959422066,0.9075741022230667
AD,MEPL_DS,1,1,0.9302325581395349,0.9300665101721439,0.9224778250522825,0.9162249148049981
AD,MEPL_DS,1,2,0.9255813953488372,0.9248092723004695,0.9173096800557679,0.9111368799697084
AD,MEPL_DS,1,3,0.8906976744186047,0.9088637666912427,0.8728762918372867,0.8543402120408936
AD,MEPL_DS,1,4,0.9302325581395349,0.9285887723387724,0.9227285796434732,0.9177158273381295
AD,MEPL_DS,1,5,0.9137529137529138,0.9250534494446472,0.9017401155124706,0.8871959908797264
AD,MEPL_DS,2,1,0.9488372093023256,0.9479548524020838,0.9435142945854929,0.9395588792124195
AD,MEPL_DS,2,2,0.9279069767441861,0.9252873563218391,0.920280364330098,0.9159172661870504
AD,MEPL_DS,2,3,0.9302325581395349,0.9333432598769109,0.9219600725952812,0.9132430897387354
AD,MEPL_DS,2,4,0.8953488372093024,0.8926178644713096,0.8831373543746489,0.8758282847406286
AD,MEPL_DS,2,5,0.9067599067599068,0.9177667766776678,0.8935747953361449,0.8788119893596809
AD,MEPL_DS,3,1,0.9046511627906977,0.9237077467643006,0.8895494897224014,0.8710952290798939
AD,MEPL_DS,3,2,0.9279069767441861,0.9266952559635486,0.92002399880006,0.914426353653919
AD,MEPL_DS,3,3,0.8953488372093024,0.9120889513361614,0.8787738301831236,0.8609191594093146
AD,MEPL_DS,3,4,0.9441860465116279,0.9442501942501942,0.9381828637147787,0.9329799318439984
AD,MEPL_DS,3,5,0.9300699300699301,0.9299455268194533,0.9223838471558836,0.9161599847995441
AD,MEPL_DS,4,1,0.9488372093023256,0.9479548524020838,0.9435142945854929,0.9395588792124195
AD,MEPL_DS,4,2,0.9372093023255814,0.9404558827165073,0.9298824126247893,0.9216205982582355
AD,MEPL_DS,4,3,0.9093023255813953,0.9174972314507198,0.8969262257297217,0.8836378265808406
AD,MEPL_DS,4,4,0.9023255813953488,0.9063199105145414,0.8895980046948357,0.8782421431276032
AD,MEPL_DS,4,5,0.9137529137529138,0.9208079307341565,0.9024550622215395,0.8901648299448983
AD,EPL,0,1,0.9069767441860465,0.9037803208137716,0.8966371000697098,0.8907847406285498
AD,EPL,0,2,0.8953488372093024,0.8888687235329704,0.8842779482211098,0.8803010223400227
AD,EPL,0,3,0.8534883720930233,0.8406099978504382,0.8389982110912343,0.8374905338886786
AD,EPL,0,4,0.8860465116279069,0.8727631670091667,0.8769354772765768,0.8820522529344945
AD,EPL,0,5,0.916083916083916,0.9082984989549686,0.9082984989549686,0.9082984989549686
AD,EPL,1,1,0.8697674418604651,0.8552377003869541,0.8595459741956557,0.8649895872775464
AD,EPL,1,2,0.8790697674418605,0.868452380952381,0.8673123026893588,0.8662201817493373
AD,EPL,1,3,0.8790697674418605,0.868452380952381,0.8673123026893588,0.8662201817493373
AD,EPL,1,4,0.872093023255814,0.8597602699322809,0.8602865160242208,0.8608244982961
AD,EPL,1,5,0.8857808857808858,0.8818035226990821,0.8725976835942473,0.8655353410602318
AD,EPL,2,1,0.8976744186046511,0.8898792409430707,0.8873809523809524,0.8850814085573646
AD,EPL,2,2,0.8744186046511628,0.8599165596919127,0.86492460908414,0.8715685346459674
AD,EPL,2,3,0.8906976744186047,0.8826350328117112,0.8795151992082939,0.8767039000378645
AD,EPL,2,4,0.8674418604651163,0.8596161869002921,0.8524658251620709,0.8467909882620219
AD,EPL,2,5,0.8508158508158508,0.8369751092532776,0.8369751092532776,0.8369751092532776
AD,EPL,3,1,0.8465116279069768,0.8363300492610837,0.8288877098205673,0.8231493752366528
AD,EPL,3,2,0.8813953488372093,0.8677988408875753,0.8719124355327637,0.8769642180992048
AD,EPL,3,3,0.8976744186046511,0.8932658450704225,0.8863008100766809,0.8806086709579705
AD,EPL,3,4,0.9069767441860465,0.8982393032942068,0.8982393032942068,0.8982393032942068
AD,EPL,3,5,0.8764568764568764,0.862268156424581,0.8696549470582502,0.8850346760402812
AD,EPL,4,1,0.8860465116279069,0.8723949357781301,0.8772680937818552,0.8835431654676259
AD,EPL,4,2,0.8976744186046511,0.8849502487562189,0.8896432654394438,0.8955177962892844
AD,EPL,4,3,0.8813953488372093,0.8722987428186822,0.8692611736089997,0.8665278303672851
AD,EPL,4,4,0.8790697674418605,0.8692735288479969,0.8669047619047618,0.864729269216206
AD,EPL,4,5,0.8904428904428905,0.8871247829322748,0.8777977781414208,0.870629868896067
AD,PL,0,1,0.8441860465116279,0.8351436187439276,0.8254140432313855,0.8183689890193109
AD,PL,0,2,0.8302325581395349,0.8166833166833167,0.8116694165291736,0.8075776221128361
AD,PL,0,3,0.8395348837209302,0.8230824809772178,0.8289430444332981,0.8386264672472548
AD,PL,0,4,0.872093023255814,0.866041187668422,0.8571678775690155,0.8503881105641802
AD,PL,0,5,0.8648018648018648,0.8623737373737375,0.8473646758600383,0.8374144974349231
AD,PL,1,1,0.8767441860465116,0.8622641509433963,0.8676008388959572,0.874858008330178
AD,PL,1,2,0.8674418604651163,0.8541348973607038,0.8556290532540893,0.8572273759939417
AD,PL,1,3,0.872093023255814,0.8648923899973006,0.8576424628756825,0.8518790230973117
AD,PL,1,4,0.8488372093023255,0.832791438054596,0.8388593896835418,0.8488025369178342
AD,PL,1,5,0.8438228438228438,0.8359788359788359,0.8246062595727284,0.8167157514725443
