Dataset,Model,Seed,Fold,Accuracy,Precision,F1,Recall
BCW,MEPL_ER,0,1,0.9473684210526315,0.9410628019323671,0.9444805194805195,0.9485751719620046
BCW,MEPL_ER,0,2,0.9736842105263158,0.9742063492063492,0.97186343068696,0.9697019325253848
BCW,MEPL_ER,0,3,0.9912280701754386,0.9931506849315068,0.9905276277523889,0.9880952380952381
BCW,MEPL_ER,0,4,0.9912280701754386,0.9931506849315068,0.9905276277523889,0.9880952380952381
BCW,MEPL_ER,0,5,0.9469026548672567,0.9400527009222661,0.943687707641196,0.948021462105969
BCW,MEPL_ER,1,1,0.956140350877193,0.9516233766233766,0.9535338713621913,0.9556174254831313
BCW,MEPL_ER,1,2,0.9736842105263158,0.9673913043478262,0.9723547005092554,0.9788732394366197
BCW,MEPL_ER,1,3,0.956140350877193,0.9550618108920814,0.9526381387619443,0.9503968253968254
BCW,MEPL_ER,1,4,0.9824561403508771,0.9864864864864865,0.9809555629802873,0.9761904761904762
BCW,MEPL_ER,1,5,0.9557522123893806,0.9601524601524601,0.9518944231587909,0.9453386988598256
BCW,MEPL_ER,2,1,0.956140350877193,0.9516233766233766,0.9535338713621913,0.9556174254831313
BCW,MEPL_ER,2,2,0.9736842105263158,0.9742063492063492,0.97186343068696,0.9697019325253848
BCW,MEPL_ER,2,3,0.9385964912280702,0.9323616115296429,0.9343480049362403,0.9365079365079365
BCW,MEPL_ER,2,4,0.9912280701754386,0.9883720930232558,0.99062114356232,0.9930555555555556
BCW,MEPL_ER,2,5,0.9557522123893806,0.9468085106382979,0.9536619371770687,0.9647887323943662
BCW,MEPL_ER,3,1,0.956140350877193,0.960472972972973,0.9526381387619443,0.9464461185718964
BCW,MEPL_ER,3,2,0.956140350877193,0.9491687979539642,0.9539245008487591,0.9602030789387488
BCW,MEPL_ER,3,3,0.9736842105263158,0.9741062479117941,0.9715828832571667,0.9692460317460317
BCW,MEPL_ER,3,4,0.9736842105263158,0.9697019325253848,0.97186343068696,0.9742063492063492
BCW,MEPL_ER,3,5,0.9734513274336283,0.9797297297297297,0.9711366538952746,0.9642857142857143
BCW,MEPL_ER,4,1,0.9649122807017544,0.9733333333333334,0.9619111259605746,0.9534883720930232
BCW,MEPL_ER,4,2,0.9649122807017544,0.9626596790042581,0.9626596790042581,0.9626596790042581
BCW,MEPL_ER,4,3,0.9824561403508771,0.9864864864864865,0.9809555629802873,0.9761904761904762
BCW,MEPL_ER,4,4,0.9649122807017544,0.9565217391304348,0.962987012987013,0.9722222222222222
BCW,MEPL_ER,4,5,0.9823008849557522,0.9863013698630136,0.9808604336043361,0.9761904761904762
BCW,MEPL_DS,0,1,0.9385964912280702,0.9309462915601023,0.9354943011882629,0.9415329184408778
BCW,MEPL_DS,0,2,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129
BCW,MEPL_DS,0,3,0.9824561403508771,0.9864864864864865,0.9809555629802873,0.9761904761904762
BCW,MEPL_DS,0,4,0.9649122807017544,0.9672297297297296,0.9619111259605747,0.9573412698412699
BCW,MEPL_DS,0,5,0.9469026548672567,0.9381894873458793,0.9441699604743083,0.9528839704896043
BCW,MEPL_DS,1,1,0.9736842105263158,0.9742063492063492,0.97186343068696,0.9697019325253848
BCW,MEPL_DS,1,2,0.9824561403508771,0.9777777777777779,0.9814935064935065,0.9859154929577465
BCW,MEPL_DS,1,3,0.9649122807017544,0.9623015873015872,0.9623015873015872,0.9623015873015872
BCW,MEPL_DS,1,4,0.9736842105263158,0.98,0.9712773998488284,0.9642857142857143
BCW,MEPL_DS,1,5,0.9557522123893806,0.9601524601524601,0.9518944231587909,0.9453386988598256
BCW,MEPL_DS,2,1,0.9473684210526315,0.9439895185063871,0.9439895185063871,0.9439895185063871
BCW,MEPL_DS,2,2,0.9649122807017544,0.9626596790042581,0.9626596790042581,0.9626596790042581
