Dataset,Model,Seed,Fold,Accuracy,Precision,F1,Recall
CCA,MEPL_ER,0,1,0.9584106943928704,0.8247658805127268,0.7351253382974904,0.7192958280241127
CCA,MEPL_ER,0,2,0.9498700334199777,0.783638932236251,0.751907546983369,0.7414351099392277
CCA,MEPL_ER,0,3,0.9606240713224369,0.8132501358442674,0.7827810254110115,0.7644499769218577
CCA,MEPL_ER,0,4,0.9565378900445766,0.8275578311148127,0.7675448162971942,0.7475319781902029
CCA,MEPL_ER,0,5,0.9576523031203567,0.8347830601021425,0.7738132089162053,0.7495953222029498
CCA,MEPL_ER,1,1,0.9576680282213145,0.8743463129189072,0.759886896179374,0.7354762228789088
CCA,MEPL_ER,1,2,0.9539546973635351,0.8528810753633541,0.6816224546497698,0.678417491692921
CCA,MEPL_ER,1,3,0.9561664190193165,0.8069808890486461,0.7616821872438857,0.7451258492902042
CCA,MEPL_ER,1,4,0.962481426448737,0.8533341811376349,0.7769654047222416,0.7488658141092072
CCA,MEPL_ER,1,5,0.9465081723625557,0.7898871928694696,0.7320154764827049,0.7191856276913691
CCA,MEPL_ER,2,1,0.9572966951355366,0.7978227962243308,0.7305199996310839,0.7160267931878416
CCA,MEPL_ER,2,2,0.9550686966208689,0.8051639802083056,0.7613786203147136,0.7469569677329129
CCA,MEPL_ER,2,3,0.9494799405646359,0.7580926017313346,0.7759693751669722,0.8001566377063442
CCA,MEPL_ER,2,4,0.9550520059435365,0.8116711176266896,0.7672442468441646,0.7495974663136461
CCA,MEPL_ER,2,5,0.9606240713224369,0.8651133635377942,0.7883320939134314,0.7596907076994842
CCA,MEPL_ER,3,1,0.9491273672484218,0.731881548179997,0.7128069417936249,0.7109595912282685
CCA,MEPL_ER,3,2,0.9558113627924248,0.8214777598889446,0.7784220587806089,0.7581368082903205
CCA,MEPL_ER,3,3,0.9587667161961367,0.8069681839475799,0.7380572455280973,0.7192853745103881
CCA,MEPL_ER,3,4,0.9587667161961367,0.8167874992128529,0.7559581293840668,0.7340839894183523
CCA,MEPL_ER,3,5,0.9535661218424963,0.7869895757826791,0.7249566494410465,0.7099934947421006
CCA,MEPL_ER,4,1,0.9576680282213145,0.84459126272559,0.7421596422140028,0.717184062344006
CCA,MEPL_ER,4,2,0.9528406981062013,0.7648795503733297,0.7296336996336996,0.7167503660197001
CCA,MEPL_ER,4,3,0.9554234769687965,0.7581171061477004,0.7526838598975614,0.7531297838948866
CCA,MEPL_ER,4,4,0.9554234769687965,0.8409146737694501,0.7791722611396207,0.7569364668496329
CCA,MEPL_ER,4,5,0.9550520059435365,0.8420144138729118,0.7684860488656539,0.7441456399425633
