Dataset,Model,Seed,Fold,Accuracy,Precision,F1,Recall
HCDR,MEPL_ER,0,1,0.6751137102014295,0.6762579441555876,0.674585577649717,0.6751137102014295
HCDR,MEPL_ER,0,2,0.6545336366590835,0.6636295500816609,0.649630499195913,0.654495260208992
HCDR,MEPL_ER,0,3,0.6542086447838804,0.6553227964115578,0.6535998056561181,0.6542223388264042
HCDR,MEPL_ER,0,4,0.6701332466688332,0.670333570207942,0.6700316206644408,0.6701276139827004
HCDR,MEPL_ER,0,5,0.6516087097822555,0.656076467554515,0.6491227174399585,0.6516361341150884
HCDR,MEPL_ER,1,1,0.6650422352176738,0.6650930487137383,0.6650164593219614,0.6650422352176738
HCDR,MEPL_ER,1,2,0.666558336041599,0.6674179784899481,0.6661393850792635,0.6665699189938918
HCDR,MEPL_ER,1,3,0.666558336041599,0.6712166386066964,0.6642524479671386,0.6665314734121341
HCDR,MEPL_ER,1,4,0.6672083197920052,0.6674281556314224,0.667094080306994,0.667202369937752
HCDR,MEPL_ER,1,5,0.6590835229119272,0.6593482722867603,0.6589359723486246,0.6590768328614244
HCDR,MEPL_ER,2,1,0.6715399610136452,0.6716501901140685,0.6714872205125477,0.6715399610136452
HCDR,MEPL_ER,2,2,0.6379590510237244,0.6391043190263297,0.6371972284645463,0.6379442260228425
HCDR,MEPL_ER,2,3,0.6652583685407865,0.6700312152198108,0.662869775152199,0.665231083295099
HCDR,MEPL_ER,2,4,0.6860578485537862,0.6882537639041337,0.6851525055758554,0.686075348270498
HCDR,MEPL_ER,2,5,0.6590835229119272,0.659164517217154,0.6590368508000679,0.6590797902138672
HCDR,MEPL_ER,3,1,0.6608187134502924,0.6629498041748929,0.6597061052356914,0.6608187134502924
HCDR,MEPL_ER,3,2,0.663958401039974,0.6712646874475843,0.6603073957246977,0.6639247784731781
HCDR,MEPL_ER,3,3,0.6548586285342867,0.6603327633483629,0.6519141783413437,0.6548885880838975
HCDR,MEPL_ER,3,4,0.6428339291517712,0.6519418505751466,0.637361213806475,0.6427940727897381
HCDR,MEPL_ER,3,5,0.6587585310367241,0.6597677938288085,0.6582300253626039,0.6587713806019648
HCDR,MEPL_ER,4,1,0.6679662118258609,0.6689936498591194,0.6674607735311244,0.6679662118258609
HCDR,MEPL_ER,4,2,0.666558336041599,0.6776112119008157,0.6612551214072893,0.6665177428472207
HCDR,MEPL_ER,4,3,0.6590835229119272,0.6591672048937522,0.6590418931562001,0.6590871835949745
HCDR,MEPL_ER,4,4,0.6516087097822555,0.6579260589573952,0.6480595037710533,0.6515761421083894
HCDR,MEPL_ER,4,5,0.6402339941501463,0.6428098399002378,0.6385824854252113,0.6402120928676264
HCDR,MEPL_DS,0,1,0.6757634827810266,0.6758707046707817,0.67571405648267,0.6757634827810266
HCDR,MEPL_DS,0,2,0.6405589860253493,0.6606202263992017,0.6289174982095549,0.6405014909281102
HCDR,MEPL_DS,0,3,0.6564835879103023,0.6567835314235406,0.6563254703059828,0.6564906281501084
HCDR,MEPL_DS,0,4,0.6740331491712708,0.674104795668058,0.6740021605511084,0.6740363889543731
HCDR,MEPL_DS,0,5,0.64478388040299,0.6529414467954484,0.6400192323068504,0.644821337889346
HCDR,MEPL_DS,1,1,0.6640675763482781,0.6641011099066443,0.6640504137814558,0.6640675763482782
HCDR,MEPL_DS,1,2,0.6662333441663958,0.6671389178898759,0.6657905521562579,0.6662452439435534
HCDR,MEPL_DS,1,3,0.6646083847903802,0.6673170501251948,0.6632279576461005,0.664587647899308
HCDR,MEPL_DS,1,4,0.6652583685407865,0.6652929195612123,0.6652427761197057,0.6652606568195281
HCDR,MEPL_DS,1,5,0.6590835229119272,0.6590953454119568,0.6590783377527056,0.6590848599609123
HCDR,MEPL_DS,2,1,0.6708901884340481,0.6733410933982917,0.6697227240444061,0.6708901884340481
HCDR,MEPL_DS,2,2,0.6399090022749431,0.6406760860403624,0.6394053161262373,0.6398969235929973
HCDR,MEPL_DS,2,3,0.6594085147871304,0.6677848438510485,0.6550722951053942,0.659372145626794
HCDR,MEPL_DS,2,4,0.6763080922976925,0.6806378582656445,0.6743763121881561,0.6763331956052052
HCDR,MEPL_DS,2,5,0.6519337016574586,0.6529059458356189,0.6513675194415731,0.6519206736679873
HCDR,MEPL_DS,3,1,0.6624431448992852,0.6648774057745446,0.6611926012131434,0.6624431448992852
HCDR,MEPL_DS,3,2,0.6603834904127397,0.6665808637001224,0.6571679127850413,0.6603520854826949
HCDR,MEPL_DS,3,3,0.6519337016574586,0.6584191120123035,0.6483645828364986,0.6519665126308523
HCDR,MEPL_DS,3,4,0.6480337991550211,0.6564432630574819,0.6432039778302773,0.647996055736799
HCDR,MEPL_DS,3,5,0.6655833604159896,0.6673313439971995,0.6647215736637528,0.6655999073926206
HCDR,MEPL_DS,4,1,0.6663417803768681,0.6664182962805267,0.666303423574065,0.6663417803768681
HCDR,MEPL_DS,4,2,0.6623334416639584,0.6753241211098848,0.6559228303544012,0.6622891513327942
HCDR,MEPL_DS,4,3,0.6577835554111148,0.6580343262577,0.6576533846192372,0.6577899620698425
HCDR,MEPL_DS,4,4,0.6590835229119272,0.6619512532949752,0.657548629021315,0.6590618348597497
HCDR,MEPL_DS,4,5,0.6480337991550211,0.648100479318303,0.6479908201031123,0.6480302765293525
HCDR,EPL,0,1,0.6621182586094867,0.6655632865463944,0.6603514132925898,0.6621182586094867
HCDR,EPL,0,2,0.6428339291517712,0.6594549784946846,0.6332266260300382,0.6427813984221257
HCDR,EPL,0,3,0.6535586610334742,0.6585240726124704,0.6508503709834959,0.6535873530090216
HCDR,EPL,0,4,0.6649333766655834,0.6649446510055772,0.6649264401520406,0.6649319682194457
HCDR,EPL,0,5,0.6499837504062398,0.6601305465367966,0.6443875065954439,0.6500245882731681
HCDR,EPL,1,1,0.6595191682910981,0.6653081475706135,0.6565119889598069,0.6595191682910981
HCDR,EPL,1,2,0.666558336041599,0.6665592857004041,0.6665574555889033,0.66655787834466
HCDR,EPL,1,3,0.6519337016574586,0.6526219660204475,0.6515508021390374,0.6519445437269907
HCDR,EPL,1,4,0.647708807279818,0.6640625733464771,0.6386572719906053,0.6476574388820869
HCDR,EPL,1,5,0.645108872278193,0.6559532460690181,0.6387892000670803,0.6450659531842659
HCDR,EPL,2,1,0.6559454191033138,0.6571910567583302,0.6552624634927552,0.6559454191033138
HCDR,EPL,2,2,0.6363340916477088,0.6426356267145564,0.6323074631216933,0.6363681684102371
HCDR,EPL,2,3,0.6545336366590835,0.6592481053711488,0.6519324481947921,0.654505610942542
HCDR,EPL,2,4,0.666558336041599,0.6676080028027497,0.6660246699390657,0.6665454152165078
HCDR,EPL,2,5,0.6373090672733182,0.6403265995301596,0.6353243277685741,0.6372851589069963
HCDR,EPL,3,1,0.6484730344379467,0.6682802668469765,0.6378154056963883,0.6484730344379467
HCDR,EPL,3,2,0.6711082222944427,0.6711105900445301,0.6711065201502342,0.6711075538386012
HCDR,EPL,3,3,0.661358466038349,0.6627395516040562,0.6606254789637025,0.6613434322694469
HCDR,EPL,3,4,0.6571335716607085,0.658216573514024,0.6565576811725453,0.657146949152972
HCDR,EPL,3,5,0.6392590185245369,0.6433651411828449,0.6366849033193601,0.6392864415529986
HCDR,EPL,4,1,0.6530214424951267,0.6530237683582543,0.6530201240272373,0.6530214424951266
HCDR,EPL,4,2,0.6428339291517712,0.6468151627326194,0.6404221417045699,0.6428606132197034
HCDR,EPL,4,3,0.6444588885277868,0.648011145272867,0.6423370336685168,0.6444839884713952
HCDR,EPL,4,4,0.6688332791680208,0.6703937719567516,0.6680860113566629,0.6688487702906063
HCDR,EPL,4,5,0.64478388040299,0.6447969402664084,0.6447742755796488,0.6447822585892077
HCDR,PL,0,1,0.6439246263807668,0.6612143267573262,0.6341146290895034,0.6439246263807668
HCDR,PL,0,2,0.6243093922651933,0.6646793527690784,0.5996952427254394,0.6242288703505139
HCDR,PL,0,3,0.6519337016574586,0.6520542234489104,0.6518688402325545,0.6519382065431845
HCDR,PL,0,4,0.6678583035424115,0.6693053993250844,0.6671593963112804,0.6678732664633698
HCDR,PL,0,5,0.5924601884952876,0.6650392964156426,0.54225910509293,0.5925678775757484
HCDR,PL,1,1,0.6569200779727096,0.6637360265207,0.6533121262594543,0.6569200779727096
HCDR,PL,1,2,0.6454338641533962,0.6501738541805693,0.6426414035849688,0.645462660890535
HCDR,PL,1,3,0.6548586285342867,0.6594940398503437,0.6523573672994172,0.6548862644498352
HCDR,PL,1,4,0.6428339291517712,0.6665680881686087,0.6295818748730038,0.642772526364797
HCDR,PL,1,5,0.6239844003899903,0.6426577783224783,0.6111981949562963,0.6239255304856564
HCDR,PL,2,1,0.647498375568551,0.6545618241987718,0.6434245160846707,0.647498375568551
HCDR,PL,2,2,0.6327591810204745,0.6403766385491806,0.6277482527664531,0.6327969540959755
HCDR,PL,2,3,0.6490087747806305,0.6511158789823437,0.6477628772878942,0.6489895149181532
HCDR,PL,2,4,0.6535586610334742,0.6603096421843913,0.6498422194324169,0.6535252486077208
HCDR,PL,2,5,0.6571335716607085,0.6571490620980813,0.6571264736764333,0.6571351197432004
HCDR,PL,3,1,0.6328784925276153,0.6695842639416121,0.6118765893114357,0.6328784925276153
HCDR,PL,3,2,0.6480337991550211,0.6574748390182676,0.6426407593743515,0.6479939433421968
HCDR,PL,3,3,0.6548586285342867,0.6558112757161765,0.6543416339389754,0.6548712664481606
HCDR,PL,3,4,0.63958401039974,0.6645488804149782,0.6254367434751229,0.6396472385510324
HCDR,PL,3,5,0.64478388040299,0.6564007865537631,0.63810536838475,0.6448280975520726
HCDR,PL,4,1,0.649772579597141,0.6502200964231949,0.6495115468127907,0.649772579597141
HCDR,PL,4,2,0.6376340591485213,0.6456702258627764,0.6326050410089429,0.6376721495980958
HCDR,PL,4,3,0.6434839129021774,0.6447055736051076,0.6427443413539049,0.6434987676289892
