Dataset,Model,Seed,Fold,NoiseLevel,Accuracy,Precision,F1,Recall
BCW,MEPL_ER,0,1,0.001,0.9473684210526315,0.9410628019323671,0.9444805194805195,0.9485751719620046
BCW,MEPL_ER,0,1,0.01,0.9385964912280702,0.9309462915601023,0.9354943011882629,0.9415329184408778
BCW,MEPL_ER,0,1,0.1,0.9035087719298246,0.8943749999999999,0.9001194743130226,0.9133639043563708
BCW,MEPL_ER,0,1,1.0,0.7192982456140351,0.7754761109254928,0.7192118226600985,0.7700622338683263
BCW,MEPL_ER,0,1,10.0,0.6666666666666666,0.7515370705244122,0.6650170120630993,0.7278087127415657
BCW,MEPL_ER,0,1,100.0,0.6754385964912281,0.7553418803418803,0.6742102417548468,0.7348509662626924
BCW,MEPL_ER,0,1,1000.0,0.6754385964912281,0.7553418803418803,0.6742102417548468,0.7348509662626924
BCW,MEPL_ER,0,2,0.001,0.9736842105263158,0.9742063492063492,0.97186343068696,0.9697019325253848
BCW,MEPL_ER,0,2,0.01,0.9736842105263158,0.9742063492063492,0.97186343068696,0.9697019325253848
BCW,MEPL_ER,0,2,0.1,0.9736842105263158,0.9742063492063492,0.97186343068696,0.9697019325253848
BCW,MEPL_ER,0,2,1.0,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129
BCW,MEPL_ER,0,2,10.0,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129
BCW,MEPL_ER,0,2,100.0,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129
BCW,MEPL_ER,0,2,1000.0,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129
BCW,MEPL_ER,0,3,0.001,0.9824561403508771,0.9864864864864865,0.9809555629802873,0.9761904761904762
BCW,MEPL_ER,0,3,0.01,0.9736842105263158,0.98,0.9712773998488284,0.9642857142857143
BCW,MEPL_ER,0,3,0.1,0.9649122807017544,0.9672297297297296,0.9619111259605747,0.9573412698412699
BCW,MEPL_ER,0,3,1.0,0.9473684210526315,0.9479729729729729,0.942866688940862,0.9384920634920635
BCW,MEPL_ER,0,3,10.0,0.956140350877193,0.9550618108920814,0.9526381387619443,0.9503968253968254
BCW,MEPL_ER,0,3,100.0,0.956140350877193,0.9550618108920814,0.9526381387619443,0.9503968253968254
BCW,MEPL_ER,0,3,1000.0,0.956140350877193,0.9550618108920814,0.9526381387619443,0.9503968253968254
BCW,MEPL_ER,0,4,0.001,0.9912280701754386,0.9931506849315068,0.9905276277523889,0.9880952380952381
BCW,MEPL_ER,0,4,0.01,0.9912280701754386,0.9931506849315068,0.9905276277523889,0.9880952380952381
BCW,MEPL_ER,0,4,0.1,0.9298245614035088,0.9412393162393162,0.9220512820512821,0.9097222222222223
BCW,MEPL_ER,0,4,1.0,0.8947368421052632,0.8847402597402598,0.8879790370127743,0.8918650793650793
BCW,MEPL_ER,0,4,10.0,0.868421052631579,0.8565217391304347,0.8606016140865738,0.8660714285714286
BCW,MEPL_ER,0,4,100.0,0.868421052631579,0.8565217391304347,0.8606016140865738,0.8660714285714286
BCW,MEPL_ER,0,4,1000.0,0.868421052631579,0.8565217391304347,0.8606016140865738,0.8660714285714286
BCW,MEPL_ER,0,5,0.001,0.9469026548672567,0.9400527009222661,0.943687707641196,0.948021462105969
BCW,MEPL_ER,0,5,0.01,0.9469026548672567,0.9400527009222661,0.943687707641196,0.948021462105969
BCW,MEPL_ER,0,5,0.1,0.9734513274336283,0.9739159891598916,0.971438200353863,0.9691482226693494
BCW,MEPL_ER,0,5,1.0,0.9292035398230089,0.9214426877470356,0.9249169435215947,0.9290744466800804
BCW,MEPL_ER,0,5,10.0,0.9380530973451328,0.9320598006644518,0.9340008343763037,0.9361167002012072
BCW,MEPL_ER,0,5,100.0,0.9380530973451328,0.9320598006644518,0.9340008343763037,0.9361167002012072
BCW,MEPL_ER,0,5,1000.0,0.9380530973451328,0.9320598006644518,0.9340008343763037,0.9361167002012072
BCW,MEPL_ER,1,1,0.001,0.956140350877193,0.9516233766233766,0.9535338713621913,0.9556174254831313
BCW,MEPL_ER,1,1,0.01,0.956140350877193,0.9516233766233766,0.9535338713621913,0.9556174254831313
BCW,MEPL_ER,1,1,0.1,0.9649122807017544,0.9594202898550726,0.962987012987013,0.9672453324598755
BCW,MEPL_ER,1,1,1.0,0.9649122807017544,0.9626596790042581,0.9626596790042581,0.9626596790042581
BCW,MEPL_ER,1,1,10.0,0.9473684210526315,0.9482124958235884,0.9434523809523809,0.9394038650507697
BCW,MEPL_ER,1,1,100.0,0.9473684210526315,0.9482124958235884,0.9434523809523809,0.9394038650507697
BCW,MEPL_ER,1,1,1000.0,0.9473684210526315,0.9482124958235884,0.9434523809523809,0.9394038650507697
BCW,MEPL_ER,1,2,0.001,0.9736842105263158,0.9673913043478262,0.9723547005092554,0.9788732394366197
BCW,MEPL_ER,1,2,0.01,0.9736842105263158,0.9673913043478262,0.9723547005092554,0.9788732394366197
BCW,MEPL_ER,1,2,0.1,0.9649122807017544,0.9574468085106382,0.9632850241545894,0.971830985915493
BCW,MEPL_ER,1,2,1.0,0.9473684210526315,0.9387755102040816,0.9453324808184143,0.9577464788732395
BCW,MEPL_ER,1,2,10.0,0.9473684210526315,0.9387755102040816,0.9453324808184143,0.9577464788732395
BCW,MEPL_ER,1,2,100.0,0.9473684210526315,0.9387755102040816,0.9453324808184143,0.9577464788732395
BCW,MEPL_ER,1,2,1000.0,0.9473684210526315,0.9387755102040816,0.9453324808184143,0.9577464788732395
BCW,MEPL_ER,1,3,0.001,0.956140350877193,0.9550618108920814,0.9526381387619443,0.9503968253968254
BCW,MEPL_ER,1,3,0.01,0.9649122807017544,0.9623015873015872,0.9623015873015872,0.9623015873015872
BCW,MEPL_ER,1,3,0.1,0.956140350877193,0.9510317720275139,0.9531057178116,0.9553571428571428
BCW,MEPL_ER,1,3,1.0,0.7719298245614035,0.7743226600985222,0.7684375000000001,0.7946428571428572
BCW,MEPL_ER,1,3,10.0,0.7894736842105263,0.7972222222222223,0.7871148459383754,0.8184523809523809
BCW,MEPL_ER,1,3,100.0,0.7719298245614035,0.7796296296296297,0.7693744164332399,0.7996031746031746
BCW,MEPL_ER,1,3,1000.0,0.7631578947368421,0.7737395607794618,0.7609320388349514,0.7926587301587302
BCW,MEPL_ER,1,4,0.001,0.9824561403508771,0.9864864864864865,0.9809555629802873,0.9761904761904762
BCW,MEPL_ER,1,4,0.01,0.9824561403508771,0.9864864864864865,0.9809555629802873,0.9761904761904762
BCW,MEPL_ER,1,4,0.1,0.9473684210526315,0.9382992327365729,0.9444805194805195,0.9533730158730158
BCW,MEPL_ER,1,4,1.0,0.8070175438596491,0.8148148148148148,0.8048552754435108,0.8373015873015872
BCW,MEPL_ER,1,4,10.0,0.7894736842105263,0.8033498759305211,0.7878411910669975,0.8234126984126984
BCW,MEPL_ER,1,4,100.0,0.7982456140350878,0.8155929038281979,0.7969802555168408,0.8353174603174602
BCW,MEPL_ER,1,4,1000.0,0.7982456140350878,0.8155929038281979,0.7969802555168408,0.8353174603174602
BCW,MEPL_ER,1,5,0.001,0.9557522123893806,0.9601524601524601,0.9518944231587909,0.9453386988598256
BCW,MEPL_ER,1,5,0.01,0.9557522123893806,0.9601524601524601,0.9518944231587909,0.9453386988598256
BCW,MEPL_ER,1,5,0.1,0.9557522123893806,0.9547764227642277,0.9523970005897716,0.9502012072434608
BCW,MEPL_ER,1,5,1.0,0.9469026548672567,0.9476027397260274,0.9425813008130082,0.9382964453386988
BCW,MEPL_ER,1,5,10.0,0.9469026548672567,0.9400527009222661,0.943687707641196,0.948021462105969
BCW,MEPL_ER,1,5,100.0,0.9469026548672567,0.9400527009222661,0.943687707641196,0.948021462105969
BCW,MEPL_ER,1,5,1000.0,0.9469026548672567,0.9400527009222661,0.943687707641196,0.948021462105969
BCW,MEPL_ER,2,1,0.001,0.956140350877193,0.9516233766233766,0.9535338713621913,0.9556174254831313
BCW,MEPL_ER,2,1,0.01,0.956140350877193,0.9516233766233766,0.9535338713621913,0.9556174254831313
BCW,MEPL_ER,2,1,0.1,0.9298245614035088,0.9212448396316291,0.9265700483091788,0.9344906649197511
BCW,MEPL_ER,2,1,1.0,0.7894736842105263,0.8128728414442701,0.788888888888889,0.8264002620373403
BCW,MEPL_ER,2,1,10.0,0.7543859649122807,0.7932367149758455,0.7543103448275862,0.7982312479528333
BCW,MEPL_ER,2,1,100.0,0.7631578947368421,0.7979539641943734,0.7629937629937631,0.80527350147396
BCW,MEPL_ER,2,1,1000.0,0.7631578947368421,0.7979539641943734,0.7629937629937631,0.80527350147396
BCW,MEPL_ER,2,2,0.001,0.9736842105263158,0.9742063492063492,0.97186343068696,0.9697019325253848
BCW,MEPL_ER,2,2,0.01,0.9736842105263158,0.9742063492063492,0.97186343068696,0.9697019325253848
BCW,MEPL_ER,2,2,0.1,0.9736842105263158,0.9742063492063492,0.97186343068696,0.9697019325253848
BCW,MEPL_ER,2,2,1.0,0.9649122807017544,0.9733333333333334,0.9619111259605746,0.9534883720930232
BCW,MEPL_ER,2,2,10.0,0.9649122807017544,0.9733333333333334,0.9619111259605746,0.9534883720930232
BCW,MEPL_ER,2,2,100.0,0.9649122807017544,0.9733333333333334,0.9619111259605746,0.9534883720930232
BCW,MEPL_ER,2,2,1000.0,0.9649122807017544,0.9733333333333334,0.9619111259605746,0.9534883720930232
BCW,MEPL_ER,2,3,0.001,0.9385964912280702,0.9323616115296429,0.9343480049362403,0.9365079365079365
BCW,MEPL_ER,2,3,0.01,0.9298245614035088,0.9246031746031746,0.9246031746031746,0.9246031746031746
BCW,MEPL_ER,2,3,0.1,0.9473684210526315,0.9434523809523809,0.9434523809523809,0.9434523809523809
BCW,MEPL_ER,2,3,1.0,0.9035087719298246,0.902051282051282,0.8946837994457042,0.8888888888888888
BCW,MEPL_ER,2,3,10.0,0.8771929824561403,0.875,0.8652027027027027,0.8581349206349207
BCW,MEPL_ER,2,3,100.0,0.868421052631579,0.8674973674973675,0.8547277206694419,0.8462301587301587
BCW,MEPL_ER,2,3,1000.0,0.868421052631579,0.8674973674973675,0.8547277206694419,0.8462301587301587
BCW,MEPL_ER,2,4,0.001,0.9912280701754386,0.9883720930232558,0.99062114356232,0.9930555555555556
BCW,MEPL_ER,2,4,0.01,0.9912280701754386,0.9883720930232558,0.99062114356232,0.9930555555555556
BCW,MEPL_ER,2,4,0.1,0.9736842105263158,0.9666666666666667,0.9721203228173148,0.9791666666666667
BCW,MEPL_ER,2,4,1.0,0.9736842105263158,0.9666666666666667,0.9721203228173148,0.9791666666666667
BCW,MEPL_ER,2,4,10.0,0.9649122807017544,0.9565217391304348,0.962987012987013,0.9722222222222222
BCW,MEPL_ER,2,4,100.0,0.9649122807017544,0.9565217391304348,0.962987012987013,0.9722222222222222
BCW,MEPL_ER,2,4,1000.0,0.9649122807017544,0.9565217391304348,0.962987012987013,0.9722222222222222
BCW,MEPL_ER,2,5,0.001,0.9557522123893806,0.9468085106382979,0.9536619371770687,0.9647887323943662
BCW,MEPL_ER,2,5,0.01,0.9557522123893806,0.9468085106382979,0.9536619371770687,0.9647887323943662
BCW,MEPL_ER,2,5,0.1,0.9469026548672567,0.9375,0.9446078431372549,0.9577464788732395
BCW,MEPL_ER,2,5,1.0,0.9469026548672567,0.9375,0.9446078431372549,0.9577464788732395
BCW,MEPL_ER,2,5,10.0,0.9380530973451328,0.9285714285714286,0.9356125356125355,0.9507042253521127
BCW,MEPL_ER,2,5,100.0,0.9380530973451328,0.9285714285714286,0.9356125356125355,0.9507042253521127
BCW,MEPL_ER,2,5,1000.0,0.9380530973451328,0.9285714285714286,0.9356125356125355,0.9507042253521127
BCW,MEPL_ER,3,1,0.001,0.956140350877193,0.960472972972973,0.9526381387619443,0.9464461185718964
BCW,MEPL_ER,3,1,0.01,0.9649122807017544,0.9672569328433009,0.9623015873015873,0.9580740255486406
BCW,MEPL_ER,3,1,0.1,0.9649122807017544,0.9626596790042581,0.9626596790042581,0.9626596790042581
BCW,MEPL_ER,3,1,1.0,0.7982456140350878,0.8055555555555556,0.7963495145631068,0.8242712086472322
BCW,MEPL_ER,3,1,10.0,0.7456140350877193,0.7527777777777778,0.7432233009708737,0.7682607271536194
BCW,MEPL_ER,3,1,100.0,0.7456140350877193,0.7527777777777778,0.7432233009708737,0.7682607271536194
BCW,MEPL_ER,3,1,1000.0,0.7456140350877193,0.7527777777777778,0.7432233009708737,0.7682607271536194
BCW,MEPL_ER,3,2,0.001,0.956140350877193,0.9491687979539642,0.9539245008487591,0.9602030789387488
BCW,MEPL_ER,3,2,0.01,0.956140350877193,0.9491687979539642,0.9539245008487591,0.9602030789387488
BCW,MEPL_ER,3,2,0.1,0.9385964912280702,0.9309462915601023,0.9354943011882629,0.9415329184408778
BCW,MEPL_ER,3,2,1.0,0.9210526315789473,0.9119318181818181,0.9177027352209834,0.9274484113986243
BCW,MEPL_ER,3,2,10.0,0.9298245614035088,0.9208791208791209,0.9271099744245523,0.9390763183753685
BCW,MEPL_ER,3,2,100.0,0.9298245614035088,0.9208791208791209,0.9271099744245523,0.9390763183753685
BCW,MEPL_ER,3,2,1000.0,0.9210526315789473,0.9121874999999999,0.9182795698924731,0.9320340648542418
BCW,MEPL_ER,3,3,0.001,0.9736842105263158,0.9741062479117941,0.9715828832571667,0.9692460317460317
BCW,MEPL_ER,3,3,0.01,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9811507936507937
BCW,MEPL_ER,3,3,0.1,0.9912280701754386,0.9931506849315068,0.9905276277523889,0.9880952380952381
BCW,MEPL_ER,3,3,1.0,0.956140350877193,0.9483091787439614,0.9535338713621913,0.9603174603174602
BCW,MEPL_ER,3,3,10.0,0.9385964912280702,0.929951690821256,0.9349474199070678,0.941468253968254
BCW,MEPL_ER,3,3,100.0,0.9473684210526315,0.9382992327365729,0.9444805194805195,0.9533730158730158
BCW,MEPL_ER,3,3,1000.0,0.9473684210526315,0.9382992327365729,0.9444805194805195,0.9533730158730158
BCW,MEPL_ER,3,4,0.001,0.9736842105263158,0.9697019325253848,0.97186343068696,0.9742063492063492
BCW,MEPL_ER,3,4,0.01,0.9736842105263158,0.9697019325253848,0.97186343068696,0.9742063492063492
BCW,MEPL_ER,3,4,0.1,0.9736842105263158,0.9697019325253848,0.97186343068696,0.9742063492063492
BCW,MEPL_ER,3,4,1.0,0.9473684210526315,0.9402597402597402,0.9439895185063871,0.9484126984126984
BCW,MEPL_ER,3,4,10.0,0.956140350877193,0.9510317720275139,0.9531057178116,0.9553571428571428
BCW,MEPL_ER,3,4,100.0,0.956140350877193,0.9483091787439614,0.9535338713621913,0.9603174603174602
BCW,MEPL_ER,3,4,1000.0,0.956140350877193,0.9483091787439614,0.9535338713621913,0.9603174603174602
BCW,MEPL_ER,3,5,0.001,0.9734513274336283,0.9797297297297297,0.9711366538952746,0.9642857142857143
BCW,MEPL_ER,3,5,0.01,0.9734513274336283,0.9797297297297297,0.9711366538952746,0.9642857142857143
BCW,MEPL_ER,3,5,0.1,0.9734513274336283,0.9797297297297297,0.9711366538952746,0.9642857142857143
BCW,MEPL_ER,3,5,1.0,0.9469026548672567,0.9535087719298245,0.9419520547945206,0.9334339369550637
BCW,MEPL_ER,3,5,10.0,0.9380530973451328,0.9356368563685638,0.9333558008256804,0.9312541918175721
BCW,MEPL_ER,3,5,100.0,0.9380530973451328,0.9356368563685638,0.9333558008256804,0.9312541918175721
BCW,MEPL_ER,3,5,1000.0,0.9380530973451328,0.9356368563685638,0.9333558008256804,0.9312541918175721
BCW,MEPL_ER,4,1,0.001,0.9649122807017544,0.9733333333333334,0.9619111259605746,0.9534883720930232
BCW,MEPL_ER,4,1,0.01,0.956140350877193,0.960472972972973,0.9526381387619443,0.9464461185718964
BCW,MEPL_ER,4,1,0.1,0.9210526315789473,0.9219594594594596,0.9147486497714998,0.9091057975761545
BCW,MEPL_ER,4,1,1.0,0.7807017543859649,0.7829433497536946,0.7778124269119826,0.8010153946937439
BCW,MEPL_ER,4,1,10.0,0.7543859649122807,0.7703081232492996,0.7531704299412311,0.7844742875859809
BCW,MEPL_ER,4,1,100.0,0.7543859649122807,0.7703081232492996,0.7531704299412311,0.7844742875859809
BCW,MEPL_ER,4,1,1000.0,0.7456140350877193,0.7646875,0.7446512705646096,0.7774320340648542
BCW,MEPL_ER,4,2,0.001,0.9649122807017544,0.9626596790042581,0.9626596790042581,0.9626596790042581
BCW,MEPL_ER,4,2,0.01,0.9649122807017544,0.9594202898550726,0.962987012987013,0.9672453324598755
BCW,MEPL_ER,4,2,0.1,0.8947368421052632,0.8850863422291995,0.8906649616368286,0.9017359973796266
BCW,MEPL_ER,4,2,1.0,0.8596491228070176,0.8557781201848998,0.8568288854003141,0.8781526367507371
BCW,MEPL_ER,4,2,10.0,0.8421052631578947,0.8382126348228043,0.8389324960753533,0.859482476252866
BCW,MEPL_ER,4,2,100.0,0.8245614035087719,0.8206471494607088,0.8210361067503924,0.840812315754995
BCW,MEPL_ER,4,2,1000.0,0.8245614035087719,0.8206471494607088,0.8210361067503924,0.840812315754995
BCW,MEPL_ER,4,3,0.001,0.9824561403508771,0.9864864864864865,0.9809555629802873,0.9761904761904762
BCW,MEPL_ER,4,3,0.01,0.9736842105263158,0.98,0.9712773998488284,0.9642857142857143
BCW,MEPL_ER,4,3,0.1,0.9473684210526315,0.9434523809523809,0.9434523809523809,0.9434523809523809
BCW,MEPL_ER,4,3,1.0,0.6754385964912281,0.7210940058958402,0.6754136206233166,0.7232142857142857
BCW,MEPL_ER,4,3,10.0,0.6403508771929824,0.7020512820512821,0.6401016401016402,0.6954365079365079
BCW,MEPL_ER,4,3,100.0,0.6403508771929824,0.7020512820512821,0.6401016401016402,0.6954365079365079
BCW,MEPL_ER,4,3,1000.0,0.6403508771929824,0.7020512820512821,0.6401016401016402,0.6954365079365079
BCW,MEPL_ER,4,4,0.001,0.9649122807017544,0.9565217391304348,0.962987012987013,0.9722222222222222
BCW,MEPL_ER,4,4,0.01,0.9649122807017544,0.9565217391304348,0.962987012987013,0.9722222222222222
BCW,MEPL_ER,4,4,0.1,0.9649122807017544,0.9565217391304348,0.962987012987013,0.9722222222222222
BCW,MEPL_ER,4,4,1.0,0.956140350877193,0.9468085106382979,0.9539245008487591,0.9652777777777778
BCW,MEPL_ER,4,4,10.0,0.956140350877193,0.9468085106382979,0.9539245008487591,0.9652777777777778
BCW,MEPL_ER,4,4,100.0,0.9473684210526315,0.9382992327365729,0.9444805194805195,0.9533730158730158
BCW,MEPL_ER,4,4,1000.0,0.9473684210526315,0.9382992327365729,0.9444805194805195,0.9533730158730158
BCW,MEPL_ER,4,5,0.001,0.9823008849557522,0.9863013698630136,0.9808604336043361,0.9761904761904762
BCW,MEPL_ER,4,5,0.01,0.9823008849557522,0.9863013698630136,0.9808604336043361,0.9761904761904762
BCW,MEPL_ER,4,5,0.1,0.9557522123893806,0.9508305647840531,0.9528577388402169,0.9550637156270958
BCW,MEPL_ER,4,5,1.0,0.831858407079646,0.8381983678593848,0.8299405940594059,0.8613346747149564
BCW,MEPL_ER,4,5,10.0,0.8407079646017699,0.85,0.8391840607210626,0.8732394366197183
BCW,MEPL_ER,4,5,100.0,0.831858407079646,0.8442622950819672,0.8305312179335387,0.8661971830985915
BCW,MEPL_ER,4,5,1000.0,0.831858407079646,0.8442622950819672,0.8305312179335387,0.8661971830985915
BCW,MEPL_DS,0,1,0.001,0.9385964912280702,0.9309462915601023,0.9354943011882629,0.9415329184408778
BCW,MEPL_DS,0,1,0.01,0.9298245614035088,0.9212448396316291,0.9265700483091788,0.9344906649197511
BCW,MEPL_DS,0,1,0.1,0.9035087719298246,0.8943749999999999,0.9001194743130226,0.9133639043563708
BCW,MEPL_DS,0,1,1.0,0.7017543859649122,0.7564316739057801,0.7016625615763546,0.7513920733704553
BCW,MEPL_DS,0,1,10.0,0.6754385964912281,0.76875,0.6734030197444831,0.7394366197183099
BCW,MEPL_DS,0,1,100.0,0.6578947368421053,0.7621951219512195,0.6546796116504854,0.7253521126760564
BCW,MEPL_DS,0,1,1000.0,0.6578947368421053,0.7621951219512195,0.6546796116504854,0.7253521126760564
BCW,MEPL_DS,0,2,0.001,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129
BCW,MEPL_DS,0,2,0.01,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129
BCW,MEPL_DS,0,2,0.1,0.9649122807017544,0.9594202898550726,0.962987012987013,0.9672453324598755
BCW,MEPL_DS,0,2,1.0,0.8333333333333334,0.8355911330049262,0.8311374444531068,0.8570258761873567
BCW,MEPL_DS,0,2,10.0,0.7631578947368421,0.7825,0.7622615277670504,0.7961021945627251
