Dataset,Model,Seed,Fold,NoiseLevel,Accuracy,Precision,F1,Recall
HCDR,MEPL_ER,0,1,0.001,0.674788823911631,0.6759124701707153,0.6742686692134596,0.6747888239116309
HCDR,MEPL_ER,0,1,0.01,0.6738141650422352,0.6749133362536364,0.6733009133964818,0.6738141650422351
HCDR,MEPL_ER,0,1,0.1,0.6624431448992852,0.6633236435753849,0.6619875778366959,0.6624431448992852
HCDR,MEPL_ER,0,1,1.0,0.6458739441195581,0.6473493531445045,0.6449852534843088,0.6458739441195582
HCDR,MEPL_ER,0,1,10.0,0.6416504223521767,0.6423911382734913,0.6411837836141108,0.6416504223521767
HCDR,MEPL_ER,0,1,100.0,0.6468486029889539,0.6473638274073823,0.6465396543748059,0.6468486029889539
HCDR,MEPL_ER,0,1,1000.0,0.6468486029889539,0.647341353893078,0.646553096539749,0.6468486029889539
HCDR,MEPL_ER,0,2,0.001,0.6538836529086773,0.6628357107722578,0.6490258796161674,0.6538454876293948
HCDR,MEPL_ER,0,2,0.01,0.6545336366590835,0.6626029906758144,0.6501611353563733,0.654497372603594
HCDR,MEPL_ER,0,2,0.1,0.6529086772830679,0.6537781347066597,0.6524061161976002,0.6528963887346841
HCDR,MEPL_ER,0,2,1.0,0.5430614234644134,0.5434949562217981,0.5418687151074626,0.5430448985247881
HCDR,MEPL_ER,0,2,10.0,0.5206369840753982,0.5233699849843367,0.505865874497341,0.5205808493685208
HCDR,MEPL_ER,0,2,100.0,0.5157621059473513,0.5181256388448905,0.49898917709180235,0.5157026965139575
HCDR,MEPL_ER,0,2,1000.0,0.5131621709457264,0.5151574245134551,0.49605026655179507,0.5131023387588076
HCDR,MEPL_ER,0,3,0.001,0.6532336691582711,0.6543928176499281,0.6525943322605512,0.6532476799570086
HCDR,MEPL_ER,0,3,0.01,0.650308742281443,0.6519588373815204,0.6493725065257119,0.6503256045039633
HCDR,MEPL_ER,0,3,0.1,0.6191095222619435,0.63174429977925,0.609811146657803,0.6191597570239232
HCDR,MEPL_ER,0,3,1.0,0.52291192720182,0.5264430184964711,0.5067488708930646,0.5229708126213042
HCDR,MEPL_ER,0,3,10.0,0.512187195320117,0.5136756070390092,0.4990656648508529,0.5122398480427819
HCDR,MEPL_ER,0,3,100.0,0.5125121871953201,0.5140589842494374,0.4992366220068118,0.5125651568115008
HCDR,MEPL_ER,0,3,1000.0,0.5128371790705233,0.5144156671306441,0.49962480726419134,0.5128900431012995
HCDR,MEPL_ER,0,4,0.001,0.6691582710432239,0.6693499267836494,0.6690600858731849,0.6691527438738444
HCDR,MEPL_ER,0,4,0.01,0.6694832629184271,0.6696022847382529,0.6694216718174678,0.6694788976004042
HCDR,MEPL_ER,0,4,0.1,0.6454338641533962,0.6456362451825246,0.6453163846266896,0.6454398470288325
HCDR,MEPL_ER,0,4,1.0,0.5255118622034449,0.5276953941579305,0.5161949685534591,0.5255570173326202
HCDR,MEPL_ER,0,4,10.0,0.5086122846928827,0.5108200293713583,0.48314669652855535,0.5086844766880356
HCDR,MEPL_ER,0,4,100.0,0.5164120896977575,0.5213402698801505,0.487318266104109,0.5164895635032289
HCDR,MEPL_ER,0,4,1000.0,0.5180370490737731,0.5234622094104926,0.48895704003047086,0.5181146286706024
HCDR,MEPL_ER,0,5,0.001,0.650308742281443,0.6548797632260451,0.6477352331584167,0.6503365889558941
HCDR,MEPL_ER,0,5,0.01,0.6532336691582711,0.6580766398389466,0.6505829809266712,0.6532620442403027
HCDR,MEPL_ER,0,5,0.1,0.6217094572635684,0.6266709746051423,0.618005315631626,0.6217415257065748
HCDR,MEPL_ER,0,5,1.0,0.536561585960351,0.540230269266481,0.525920197143119,0.5366103333274186
HCDR,MEPL_ER,0,5,10.0,0.5112122196945076,0.514682532269815,0.48129258105531975,0.5112903266691509
HCDR,MEPL_ER,0,5,100.0,0.5063373415664608,0.5086760694291088,0.4720638344711611,0.5064202009140754
