Dataset,Seed,Fold,View,Weight
BCW,0,1,View_1,0.32469302
BCW,0,1,View_2,0.27008164
BCW,0,1,View_3,0.4052254
BCW,0,2,View_1,0.3366748
BCW,0,2,View_2,0.27080974
BCW,0,2,View_3,0.39251545
BCW,0,3,View_1,0.33818117
BCW,0,3,View_2,0.26866975
BCW,0,3,View_3,0.39314905
BCW,0,4,View_1,0.32545334
BCW,0,4,View_2,0.27171597
BCW,0,4,View_3,0.40283063
BCW,0,5,View_1,0.3390843
BCW,0,5,View_2,0.26758915
BCW,0,5,View_3,0.3933265
BCW,1,1,View_1,0.32195577
BCW,1,1,View_2,0.27076963
BCW,1,1,View_3,0.40727454
BCW,1,2,View_1,0.32671678
BCW,1,2,View_2,0.27063513
BCW,1,2,View_3,0.40264803
BCW,1,3,View_1,0.33316508
BCW,1,3,View_2,0.2678523
BCW,1,3,View_3,0.3989826
BCW,1,4,View_1,0.33804256
BCW,1,4,View_2,0.27042258
BCW,1,4,View_3,0.39153484
BCW,1,5,View_1,0.33660808
BCW,1,5,View_2,0.2700366
BCW,1,5,View_3,0.3933553
BCW,2,1,View_1,0.3309134
BCW,2,1,View_2,0.2736241
BCW,2,1,View_3,0.39546248
BCW,2,2,View_1,0.33980066
BCW,2,2,View_2,0.26722333
BCW,2,2,View_3,0.39297602
BCW,2,3,View_1,0.33266473
BCW,2,3,View_2,0.26892683
BCW,2,3,View_3,0.39840844
BCW,2,4,View_1,0.3308433
BCW,2,4,View_2,0.26857695
BCW,2,4,View_3,0.4005798
BCW,2,5,View_1,0.32907456
BCW,2,5,View_2,0.271443
BCW,2,5,View_3,0.3994825
BCW,3,1,View_1,0.32139856
BCW,3,1,View_2,0.27532843
BCW,3,1,View_3,0.40327308
BCW,3,2,View_1,0.33345196
BCW,3,2,View_2,0.26570582
BCW,3,2,View_3,0.40084222
BCW,3,3,View_1,0.3188635
BCW,3,3,View_2,0.27239025
BCW,3,3,View_3,0.40874627
BCW,3,4,View_1,0.3388166
BCW,3,4,View_2,0.26229113
BCW,3,4,View_3,0.39889222
BCW,3,5,View_1,0.33041266
BCW,3,5,View_2,0.27038372
BCW,3,5,View_3,0.39920363
BCW,4,1,View_1,0.3246247
BCW,4,1,View_2,0.27097175
BCW,4,1,View_3,0.40440354
BCW,4,2,View_1,0.32558987
BCW,4,2,View_2,0.2770249
BCW,4,2,View_3,0.39738524
BCW,4,3,View_1,0.3195984
BCW,4,3,View_2,0.2711156
BCW,4,3,View_3,0.409286
BCW,4,4,View_1,0.32187554
BCW,4,4,View_2,0.27008608
BCW,4,4,View_3,0.40803847
BCW,4,5,View_1,0.34707466
BCW,4,5,View_2,0.2646522
BCW,4,5,View_3,0.38827312
CCA,0,1,View_1,0.07085312
CCA,0,1,View_2,0.9291468
CCA,0,2,View_1,0.071313575
CCA,0,2,View_2,0.92868644
CCA,0,3,View_1,0.070848495
CCA,0,3,View_2,0.9291515
CCA,0,4,View_1,0.07089629
CCA,0,4,View_2,0.92910373
CCA,0,5,View_1,0.07134341
CCA,0,5,View_2,0.9286566
CCA,1,1,View_1,0.072629385
CCA,1,1,View_2,0.9273706
CCA,1,2,View_1,0.07038103
CCA,1,2,View_2,0.92961895
CCA,1,3,View_1,0.07074422
CCA,1,3,View_2,0.9292557
CCA,1,4,View_1,0.071050145
CCA,1,4,View_2,0.9289499
CCA,1,5,View_1,0.07131911
CCA,1,5,View_2,0.92868084
CCA,2,1,View_1,0.07177094
CCA,2,1,View_2,0.92822903
CCA,2,2,View_1,0.07118007
CCA,2,2,View_2,0.9288199
CCA,2,3,View_1,0.07062106
CCA,2,3,View_2,0.929379
CCA,2,4,View_1,0.07151533
CCA,2,4,View_2,0.9284846
CCA,2,5,View_1,0.07064259
CCA,2,5,View_2,0.92935747
CCA,3,1,View_1,0.071529046
CCA,3,1,View_2,0.92847097
CCA,3,2,View_1,0.07002117
CCA,3,2,View_2,0.92997885
CCA,3,3,View_1,0.07080155
CCA,3,3,View_2,0.9291984
CCA,3,4,View_1,0.07109391
CCA,3,4,View_2,0.9289061
CCA,3,5,View_1,0.07048771
CCA,3,5,View_2,0.9295123
CCA,4,1,View_1,0.071265236
CCA,4,1,View_2,0.9287347
CCA,4,2,View_1,0.07016653
CCA,4,2,View_2,0.9298335
CCA,4,3,View_1,0.07202035
CCA,4,3,View_2,0.9279796
CCA,4,4,View_1,0.07064957
CCA,4,4,View_2,0.92935044
CCA,4,5,View_1,0.07029716
CCA,4,5,View_2,0.9297028
AD,0,1,View_1,0.09364937
AD,0,1,View_2,0.091987476
AD,0,1,View_3,0.093232974
AD,0,1,View_4,0.63026935
AD,0,1,View_5,0.090860754
AD,0,2,View_1,0.09517622
AD,0,2,View_2,0.091258734
AD,0,2,View_3,0.09413253
AD,0,2,View_4,0.6297978
AD,0,2,View_5,0.08963471
AD,0,3,View_1,0.09317987
AD,0,3,View_2,0.08922329
AD,0,3,View_3,0.090746
AD,0,3,View_4,0.6383941
AD,0,3,View_5,0.08845675
AD,0,4,View_1,0.09703918
AD,0,4,View_2,0.09070203
AD,0,4,View_3,0.09463991
AD,0,4,View_4,0.62741196
AD,0,4,View_5,0.09020696
AD,0,5,View_1,0.09364727
AD,0,5,View_2,0.09016967
AD,0,5,View_3,0.09361882
AD,0,5,View_4,0.6323941
AD,0,5,View_5,0.09017014
AD,1,1,View_1,0.09229563
AD,1,1,View_2,0.089379616
AD,1,1,View_3,0.09099391
AD,1,1,View_4,0.6394349
AD,1,1,View_5,0.08789596
AD,1,2,View_1,0.09423594
AD,1,2,View_2,0.090822056
AD,1,2,View_3,0.09332454
AD,1,2,View_4,0.6313376
AD,1,2,View_5,0.09027994
